"Site","year","LB","lcl_adj","ucl_adj"
"Eldena","2016","622","560","684"
"Eldena","2017","597","487","707"
"Eldena","2018","498","438","558"
"Eldena","2019","593","508","678"
"Eldena","2020","609","523","695"
"Eldena","2021","649","585","713"
"Trollenhagen","2016","3726","3322","4130"
"Trollenhagen","2017","3905","3388","4422"
"Trollenhagen","2018","2730","2530","2930"
"Trollenhagen","2019","3228","2754","3702"
"Trollenhagen","2020","3684","3331","4037"
"Trollenhagen","2021","3642","3338","3946"
"Baumberge2","2016","549","523","575"
"Baumberge2","2017","664","630","698"
"Baumberge2","2018","937","891","983"
"Baumberge2","2019","818","716","920"
"Baumberge2","2020","849","770","928"
"Baumberge2","2021","958","908","1008"
"Baumberge1","2016","7126","6780","7472"
"Baumberge1","2017","7189","6730","7648"
"Baumberge1","2018","7444","7209","7679"
"Baumberge1","2019","7705","6999","8411"
"Baumberge1","2020","7723","7131","8315"
